"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2ML1",88.6316553376644,3.45572839288291,0.339981222854101,10.1644683899672,2.85676149485086e-24,1.76894663742293e-23
"AADACL3",2.09902050793267,-4.22710031545479,0.487562410137381,-8.66986508304385,4.32632706345026e-18,1.91881690937477e-17
"AADAC",60.4543620334174,-4.25873587001837,0.354744818757804,-12.0050685586643,3.34186848419193e-33,3.22521989052884e-32
"ABCA10",184.695843785025,-3.7133074245786,0.190925755677691,-19.4489602065379,2.97400601691178e-84,2.52307553195439e-82
"ABCA8",1249.17222629862,-3.51378054732675,0.226911635720033,-15.4852373972665,4.3644851744441e-54,1.05202736508453e-52
"ABCA9",684.213187145759,-3.35366846517729,0.188062711510062,-17.8327135573489,3.93833867381535e-71,1.90228465578059e-69
"ABCB5",61.2671565034412,-3.51102549547048,0.225227482586428,-15.5887969583071,8.67519147642036e-55,2.16901638778208e-53
"ABCC13",51.544184974686,6.75735509014534,0.485027696184365,13.9318953191835,4.05451467669274e-44,6.32784790579436e-43
"ABCD2",240.058993921919,-3.98750250839166,0.227925539143174,-17.4947595753492,1.57073913086845e-68,6.91403840931273e-67
"ACACB",4022.87089930306,-3.6992349632167,0.186575901889737,-19.8269708239324,1.74221046766547e-87,1.73800815095955e-85
"ACADL",122.588662717827,-4.03519392467499,0.255432847881846,-15.7974745931719,3.23831885450586e-56,8.53746426290176e-55
"ACSM2A",2.27957614063267,-4.08220799895461,0.337990009082081,-12.0778954680972,1.38212037170183e-33,1.36032987699676e-32
"ACSM5",212.278422708631,-3.91702523975424,0.203074661616058,-19.2885966598824,6.69664565261526e-83,5.36055683450476e-81
"ACTL8",12.7674695228342,6.14330878348421,0.468617760657904,13.1094237121091,2.90799669718319e-39,3.68643361637807e-38
"ACVR1C",911.754019034158,-4.51686083050917,0.246804744814903,-18.3013532981171,8.0718741549487e-75,4.64472016591425e-73
"ADH1A",169.192346561541,-4.48011422415411,0.301948281911421,-14.8373562379414,8.40018061978093e-50,1.68274859398477e-48
"ADH1B",18334.1550339772,-4.48622578162439,0.303791072045855,-14.7674707864596,2.3745799340745e-49,4.63768498047396e-48
"ADH4",16.8575387086783,-4.2597246285764,0.275347157455221,-15.4703780781508,5.49831735762699e-54,1.3135089793455e-52
"ADIPOQ",18269.4813816766,-4.69649632582948,0.318558685772959,-14.7429548638229,3.41509323323971e-49,6.58857442820941e-48
"ADRA1A",32.9263734309182,-4.62230890348604,0.241093980542566,-19.1722285769385,6.31448933836958e-82,4.80288284847942e-80
"AIM1L",19.5242042857432,4.19152335566923,0.238873306616252,17.5470562828641,6.26438178384657e-69,2.80723492489666e-67
"ALAS2",7.95152224496535,-3.99302310568883,0.407999293444645,-9.78683828586231,1.2824335673527e-22,7.24086211009265e-22
"ALDH1L1",733.535386915334,-4.90136920733184,0.270452770112409,-18.1228286376755,2.10489847759781e-73,1.1263192608429e-71
"ANGPT4",13.3520065483001,-3.97374567245119,0.219195986194009,-18.1287337485005,1.89062726182254e-73,1.01439817301895e-71
"ANGPTL5",21.4882648914317,-4.26247827477648,0.314646434779091,-13.5468824802325,8.26671237761717e-42,1.16225760708538e-40
"ANGPTL7",102.149974460152,-4.97017426993945,0.272322069611401,-18.2510887826015,2.02826356314847e-74,1.14715351155622e-72
"ANLN",588.744522192082,3.61352307931248,0.159404981230554,22.6688215852307,9.09974249710354e-114,3.61296176104999e-111
"AOC3",7081.23398410821,-3.67624022914708,0.186002287960957,-19.7644892944475,6.02045351304569e-87,5.77381850922623e-85
"APOB",184.446650708982,-4.6577503516017,0.289976242479943,-16.0625239908192,4.67148807156548e-58,1.33821617888482e-56
"AQP7P1",194.366277911955,-4.89329855948875,0.293411838986023,-16.6772362574021,1.91893712088357e-62,6.67158313901589e-61
"AQP7P3",19.0529362468968,-4.85803448898857,0.339203597894341,-14.3218837274886,1.59734077821211e-46,2.73601459267186e-45
"AQP7",1065.06017791281,-4.9376194575344,0.271573411418423,-18.1815275352079,7.22917636914964e-74,3.96446434476129e-72
"AQPEP",203.512838043666,-4.98829752049352,0.253106194863406,-19.7083185703359,1.82945337077492e-86,1.72944325317256e-84
"ASCL1",26.1161234008255,5.57454055169446,0.523986813748677,10.6387038861024,1.96848466074708e-26,1.36256476586998e-25
"ASPA",68.2694914844741,-3.56751758257593,0.182689910213975,-19.5277209255699,6.38249331502566e-85,5.63134476843953e-83
"ASPM",414.623803815403,3.71379462080274,0.180512807187458,20.5735796737462,4.73395321548747e-94,6.18279205485903e-92
"ATOH8",300.547673425912,-3.67168158674953,0.161393848787804,-22.7498235795649,1.44079131795322e-114,5.96042701830714e-112
"ATP1A2",1226.12080751927,-4.22516726614828,0.271942978642388,-15.5369603114647,1.95016422355732e-54,4.8152562395597e-53
"ATP1A3",55.7424045521863,4.26698203959524,0.260290957134724,16.3931243965064,2.14148890736851e-60,6.7911881452204e-59
"B3GALT1",12.7042422510441,-3.64180202604252,0.215421526626268,-16.9054693979615,4.10046627589221e-64,1.49362305521123e-62
"BMP3",44.126752366828,-3.68830928606394,0.303067169495983,-12.1699400571754,4.49412424476079e-34,4.54494928716206e-33
"BMPR1B",2384.54820988304,4.48810994253752,0.282429133763758,15.8911011860825,7.30332485138133e-57,1.9752807213845e-55
"BRSK2",20.3250183717818,3.82773946635794,0.288791203927914,13.2543492124968,4.25794513089939e-40,5.59422413888912e-39
"BTNL9",1065.66695879613,-3.9832468682483,0.178499714342058,-22.3151442170671,2.63392311752145e-110,8.5719084801698e-108
"BUB1",328.721217121678,3.64221921686284,0.161059820680658,22.6140771886519,3.15050277146388e-113,1.13715965489274e-110
"C12orf39",82.3109798942363,-5.76221408343118,0.39022068757908,-14.7665520225999,2.40716476218516e-49,4.68960106564276e-48
"C13orf36",10.1126285821201,-3.39734233293052,0.305302573516278,-11.1277880621906,9.18873718326909e-29,7.20153219748354e-28
"C14orf180",307.361740065508,-5.22710499664385,0.319294213943219,-16.3708102695948,3.09071601701302e-60,9.70836936230103e-59
"C14orf53",3.18346308782553,4.80367796725735,0.738108443429308,6.50809242194697,7.61110891393999e-11,2.19743650610147e-10
"C17orf93",2.15192386879393,4.42778418467439,0.577601165795182,7.66581587240856,1.77697963156745e-14,6.39880276544113e-14
"C1orf230",4.78353799537013,4.03211375473868,0.396501181354147,10.1692351608337,2.72036318031146e-24,1.68553838500447e-23
"C2orf40",357.787448776496,-3.57934579435562,0.221821111018432,-16.1361818896408,1.42061884253502e-58,4.17191202100668e-57
"C2orf54",181.918430913726,3.45163782088261,0.298655261424021,11.5572644005159,6.78355055996267e-31,5.90644937352539e-30
"C3orf50",1.36253145378334,-3.33120481080241,0.278146500930023,-11.9764397526629,4.72168871050719e-33,4.5326385048834e-32
"C6orf126",9.88933463515086,3.4540542828052,0.284592148350049,12.136857263387,6.73639985473599e-34,6.73029742910009e-33
"CA3",381.158080084175,-4.12052024980824,0.24793286381051,-16.6195000794952,5.03507284234148e-62,1.7115798983932e-60
"CA4",225.649227618434,-5.28990309214187,0.305406584279665,-17.3208547701049,3.27457395444233e-67,1.3714523658985e-65
"CA9",67.7559391484996,5.88759630681175,0.443898835607948,13.2633740720412,3.77520309883093e-40,4.96655612445272e-39
"CAMP",9.62495586089286,3.99317749169607,0.319197800145663,12.5100407642967,6.57904575236478e-36,7.21188383633052e-35
"CAPN9",121.589616348013,3.66315417999998,0.264697335947804,13.8390292704809,1.48194335893049e-43,2.25437084762361e-42
"CAPSL",11.2393386317457,4.15810000692691,0.332210781648992,12.5164511106093,6.06885243075623e-36,6.66734136443678e-35
"CASP14",49.8334783722128,6.71800608131318,0.621289482468357,10.8130046795945,2.98722340716435e-27,2.14863619851546e-26
"CBLN2",96.9687075157031,5.32290118729969,0.366258226276555,14.5331921726735,7.46586150144445e-48,1.35106912057133e-46
"CCL11",15.4084532759371,4.75722153619955,0.222929773060233,21.3395522316088,4.87593556133799e-101,9.48990909447861e-99
"CCL24",2.11450847012025,-3.33495372035068,0.390649958060009,-8.53693607676874,1.37827753356195e-17,5.96502411080703e-17
"CCL7",7.54252488591177,4.30749005855255,0.506623025383581,8.50235745856835,1.85778708182879e-17,7.98285479404009e-17
"CD177",51.163303490272,4.0857864412892,0.341342103844789,11.9697699031791,5.11703349549663e-33,4.9003062688181e-32
"CD300LG",920.371826298103,-4.7208976817751,0.240965652379737,-19.5915792775953,1.82442313446594e-85,1.63884380386506e-83
"CD36",17373.7769479858,-3.42905857915477,0.226939503871953,-15.1100117901446,1.39114851659455e-51,3.00185655993859e-50
"CDC20B",28.3957137962358,6.49563661271836,0.474403747870695,13.6922118382775,1.13015882595392e-42,1.66460822427693e-41
"CDC20",409.203222383415,3.44112855445095,0.169183859745723,20.3395794351946,5.74207076437712e-92,6.70538757731851e-90
"CDC25C",62.5292102179455,3.79557540410924,0.177175746038789,21.4226579482176,8.21642310541904e-102,1.69908782800811e-99
"CDH20",17.8144734513093,-3.79265872959887,0.260053181437528,-14.5841658565134,3.54225082753038e-48,6.52396213211387e-47
"CDO1",609.16977382238,-3.59168360435966,0.190827743868379,-18.8216007355669,5.02434696796389e-79,3.34709181234964e-77
"CEACAM5",1054.60072041262,5.69098245121628,0.363481852725284,15.6568544166563,2.98290090734933e-55,7.63099855833749e-54
"CEACAM6",2867.82308293373,4.46493195451456,0.312369336434614,14.2937588096108,2.39334862233714e-46,4.0505334058514e-45
"CELF3",1.93764439347465,3.80474725432987,0.501484439180606,7.58696971843551,3.27473579270601e-14,1.16110117801035e-13
"CENPA",86.7753052445732,3.40908191710384,0.166887574660686,20.4274160256397,9.54196411822591e-93,1.1693029115742e-90
"CENPF",1523.90109869339,3.36197702098644,0.145807911092848,23.0575762027452,1.23477379014395e-117,6.8090914672049e-115
"CEP55",280.971120530973,3.56722803138524,0.156416575779332,22.8059463238588,4.00268610498705e-115,1.72742009904789e-112
"CES1",2124.93916130071,-3.8418522690208,0.217129006821695,-17.6938693049691,4.67520225036224e-70,2.16850736154653e-68
"CFD",2993.68706394327,-3.32462477957077,0.222180673999885,-14.9636092091992,1.2695017813263e-50,2.65006828211248e-49
"CGA",18.2012169511589,6.07609793252117,0.588294214960659,10.3283319434435,5.24649721961368e-25,3.37612521243989e-24
"CHRDL1",3931.25632237877,-4.14191247123294,0.227693128142306,-18.190766252042,6.10802492328197e-74,3.36823641047204e-72
"CHRNA6",6.47633757922149,3.91268799380704,0.241410237366175,16.2076307802648,4.45411314490386e-59,1.33771640170396e-57
"CHRNA9",2.29276414592607,3.60139971118279,0.452909595042199,7.9516966533845,1.83974291438453e-15,7.05750267369308e-15
"CIB3",3.9511702798235,3.99662365534303,0.325094446508934,12.2937309396123,9.78819150590316e-35,1.02056290848314e-33
"CIDEA",887.503834515629,-4.83789368629096,0.326759503264551,-14.8056709535824,1.34636819908257e-49,2.67281014881872e-48
"CIDEC",3262.04897213588,-4.96696791982274,0.308433802643073,-16.1038377676478,2.39760770433329e-58,6.97907744082471e-57
"CILP2",201.524042250623,3.60709353052547,0.157589313385826,22.8892013869888,5.95210204525622e-116,2.88197877566894e-113
"CKAP2L",123.648989954545,3.57041971167313,0.164634284828018,21.6869755616389,2.72311632590384e-104,6.35991827080505e-102
"CLCA4",40.0408450295559,-4.13921231692281,0.270341386506557,-15.3110567731087,6.45072454163233e-53,1.46857550000556e-51
"CLDN19",93.4448198613232,-3.65971477185072,0.251625651717534,-14.5442833306955,6.3492301899198e-48,1.15109513908939e-46
"CLEC3A",2169.9961049035,5.67501049614736,0.550086285575716,10.3165824070817,5.92963445206082e-25,3.80216741415734e-24
"CLEC3B",1541.79403821692,-3.95546953184659,0.177352819356227,-22.3028286001009,3.46867680425863e-110,1.11064793416359e-107
"CLEC4GP1",6.99932326466358,-3.97629489834665,0.25645454122633,-15.5048722449311,3.21555628509682e-54,7.84216503338356e-53
"CLEC4G",14.7673569361728,-3.83906003837551,0.277970085027348,-13.8110546607841,2.1860741161783e-43,3.31282010338715e-42
"CLEC5A",89.5229590036495,3.47276810583297,0.165772672116817,20.9489782693843,1.91700051212881e-97,3.22510967515094e-95
"CNGA2",1.71215457450363,4.0072798212585,0.644018482285919,6.22230561929654,4.89901549188795e-10,1.34646622656735e-09
"CNIH2",44.1863236384967,3.53293498991958,0.179925171074772,19.6355794401406,7.6799759904018e-86,7.09129690053286e-84
"CNN1",2182.77873887775,-3.42186459129073,0.159137708688654,-21.5025377673713,1.47403081751324e-102,3.18070215100791e-100
"CNTNAP2",516.475760630673,4.25786202488326,0.285392081603874,14.9193418435246,2.46694622344909e-50,5.08027141368375e-49
"COL10A1",2036.28558502946,7.53773491258663,0.192904530910088,39.0749500648065,0,0
"COL11A1",2925.45452505601,6.99740489283231,0.214514025143994,32.6198013772537,2.14890251734336e-233,1.42200042581001e-229
"COMP",1486.00440089703,4.63954061426837,0.222139843891052,20.8856751359914,7.22759780308755e-97,1.14785817269515e-94
"CPA1",19.857446318208,-5.02092779186927,0.243291705266878,-20.6374803709875,1.26486599795666e-94,1.71987121859149e-92
"CPA2",4.15926840392887,-3.35074277414194,0.311550110406915,-10.755068485662,5.60923376017285e-27,3.98121232059176e-26
"CPLX2",8.16226706345064,4.96374069317084,0.787657188599741,6.30190489595499,2.94009561909265e-10,8.1906789545646e-10
"CRHBP",73.5173456363568,-4.03013118177636,0.225844285109429,-17.8447339494273,3.17612168725131e-71,1.5530139836284e-69
"CSAG1",1.87230657171607,4.3421214536662,0.927799821413993,4.68001971270988,2.86847335209543e-06,5.99231116340087e-06
"CSAG2",1.2849033042682,3.73705733649362,0.978957021969219,3.81738651710813,0.00013487279003808,0.000245079599801919
"CSAG3",7.86298078930994,5.35229895918291,0.552146415207175,9.69362258229031,3.20938810767715e-22,1.77770013151805e-21
"CSF3",28.9960496906408,-5.22937360969381,0.367766236190761,-14.2192868596597,6.95581553778592e-46,1.15553849419352e-44
"CSMD3",3.84178365306987,3.41991670647436,0.580709728617934,5.88920167501519,3.88065643758958e-09,1.00612239256926e-08
"CSN1S1",49.3190307347021,-6.52311300213155,0.492765104804897,-13.2377738166226,5.30995237073673e-40,6.94879198838929e-39
"CSN2",11.1820287995989,-7.90225696926534,0.773430984465614,-10.2171455863321,1.66161739954776e-24,1.0389426335692e-23
"CSN3",45.4014299094268,-5.04750528804294,0.536871712983955,-9.40169721363918,5.36899262953314e-21,2.78435845562936e-20
"CST1",250.141677417591,7.11813436017685,0.376753784061065,18.893332094637,1.29413305914082e-79,8.92053107293875e-78
"CST2",21.0541356317658,4.71790847065626,0.311778474258563,15.1322456814117,9.92498624655349e-52,2.15334237121945e-50
"CST4",27.1304999710032,7.16312982906945,0.394230190719352,18.1699169614556,8.93334281773008e-74,4.85875949637199e-72
"CST5",25.6338152980449,5.90609333237516,0.628827055799171,9.39223794190782,5.87387053645727e-21,3.04084196426938e-20
"CXADRP3",33.661894029568,3.40554058526922,0.303998950603133,11.2024748062868,3.96499719044864e-29,3.17391629938655e-28
"CXCL10",669.759279007704,3.70888995364204,0.212267209493266,17.4727409028275,2.31119922479961e-68,1.01284607087686e-66
"CXCL11",214.790135569184,4.09679872006238,0.227909607460255,17.9755419954238,3.02889248181094e-72,1.56180710516651e-70
"CXCL2",281.578118614515,-3.90054535028837,0.204865320319185,-19.0395589854409,8.02000720050772e-81,5.87502520090329e-79
"CXorf30",2.12652825889407,3.57176840181347,0.375346573055727,9.51592117315849,1.80109999502058e-21,9.57820442034518e-21
"CXorf61",6.09297811148486,3.96812089855368,0.77203629044667,5.13981136334651,2.75014420658746e-07,6.22884914879342e-07
"CYP1A1",46.7173133714238,-4.26583797406094,0.427271755533383,-9.9838988157214,1.79280607214028e-23,1.06272875915583e-22
"CYP2B6",4.89634888572479,3.56657516127325,0.384069224711066,9.28628208614311,1.59771890285295e-20,8.08511742529617e-20
"CYP2B7P1",1296.32647323763,3.73092667605921,0.321431640007376,11.6072166261342,3.7874430938704e-31,3.32838956615827e-30
"CYP3A4",3.20981242256023,-3.50309351836348,0.277765532819761,-12.6116926128361,1.82040879782994e-36,2.054505710888e-35
"DACT2",50.930985424426,-3.34902495976775,0.212881242047745,-15.7318931792808,9.14357809216869e-56,2.36969076091035e-54
"DCT",11.4590452515806,-3.75409966808208,0.288599337803888,-13.0079982048784,1.10190897229876e-38,1.36633959513273e-37
"DEFB132",174.321205012147,-4.51861534532931,0.286966227712452,-15.7461572441796,7.29836386645084e-56,1.89642826540291e-54
"DEPDC1",201.002743521231,3.58250685020228,0.173478103825678,20.6510606883403,9.5499962343906e-95,1.32325266442837e-92
"DES",337.001841154727,-4.15359879521544,0.265248725258586,-15.6592601572964,2.87218954698411e-55,7.35725250151335e-54
"DGAT2",4666.02348851932,-3.39070976298772,0.210102288608749,-16.138376147353,1.37101080641241e-58,4.03219355983692e-57
"DIO1",156.782766862989,3.80760649818567,0.29509101066446,12.903159908572,4.32012115526829e-38,5.22945397404793e-37
"DLGAP5",209.667689938903,3.5385297394592,0.174832001350509,20.2395997993813,4.38717091597312e-91,5.03434202450279e-89
"DLK1",134.39597476004,-3.97786750618381,0.401653869448191,-9.90372011515481,4.01072314511084e-23,2.32334041075986e-22
"DLK2",56.6989648047388,-3.34876960540949,0.196623727267423,-17.0313606193362,4.80733451252226e-65,1.82476490903617e-63
"DPP6",31.0727323424085,-4.14291723110542,0.18064590924217,-22.9339111441019,2.13278851253768e-116,1.11421361976047e-113
"DPT",4864.13774100532,-3.39246425964117,0.187744088768065,-18.0696195651312,5.52936616494068e-73,2.91938768900006e-71
"DQX1",19.3270458579512,4.50458176979667,0.30424486632612,14.8057774127508,1.34423813886325e-49,2.6712528060774e-48
"DUSP13",4.30240248291689,3.69444424538685,0.359412301228604,10.2791257638035,8.75178229875529e-25,5.55436004459367e-24
"E2F8",77.3146618119326,3.59612328278662,0.180533786236033,19.9193921412858,2.76324818404087e-88,2.87204203924499e-86
"EDN3",142.643790533791,-3.52731304662101,0.319099404754634,-11.0539631038587,2.09746435923144e-28,1.61578822116657e-27
"EIF4E1B",1.6119750744683,3.62140658985207,0.611883785815257,5.91845489912272,3.24980091965215e-09,8.4676529540536e-09
"ELANE",4.04360246392785,-3.64986845976399,0.267802896982138,-13.628935687008,2.69481721977939e-42,3.88507708402762e-41
"EMX1",19.4165741252385,4.20731549405611,0.337405643330756,12.4696061764791,1.09365210771589e-35,1.18835148562538e-34
"ENTHD1",5.33347158681056,3.54571939464747,0.294785600909736,12.0281295412837,2.52823670453846e-33,2.45071069621569e-32
"EPB42",25.6151938172069,-5.20043749802335,0.323843085427585,-16.0585102231131,4.98378112343789e-58,1.42356867428042e-56
"EPHA8",9.13789844533827,3.40486660885446,0.361672833556328,9.41421719561964,4.76620579739317e-21,2.47563363395733e-20
"EPO",7.23167078683829,3.72338339138856,0.342299190665978,10.8775699531873,1.47441196909413e-27,1.08207121665275e-26
"EPR1",233.594435612636,3.41950331803006,0.189581472531523,18.0371176168678,9.96054997056324e-73,5.21733081835412e-71
"EPYC",55.1288888498452,6.90897013982705,0.328162866238668,21.0534793866722,2.12493517748204e-98,3.63657009856668e-96
"EXO1",169.579947274904,3.73365675888854,0.172756556489155,21.612243464247,1.37788523582264e-103,3.10838382972171e-101
"FABP4",17800.9841635049,-4.81045400007986,0.270170274295561,-17.8052674840805,6.43242120741161e-71,3.09192314308802e-69
"FABP6",7.6601256315509,5.28663493204462,0.541494583014099,9.76304306243997,1.62213345256765e-22,9.10192009620491e-22
"FAM180B",38.8265706368955,-4.10438248557899,0.273451982456521,-15.0095181198095,6.36081272935575e-51,1.3404973917534e-49
"FAM196A",90.3862534568679,3.44775825016908,0.269449280896502,12.7955741381006,1.7356497073477e-37,2.04244919918593e-36
"FAM196B",135.365322046231,-3.56520877066217,0.239245941471063,-14.9018568454729,3.20545862184108e-50,6.56705516623211e-49
