_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,1,1,1,1,1,0,-6.1,-3.3,-4,-3.8,-2.3,-3.1,0,M5885,NABA MATRISOME ASSOCIATED,M1111110,6,0
1,0,1,1,0,1,1,-3.3,0,-2.1,-2.8,0,-3.4,-2.5,R-HSA-388396,GPCR downstream signalling,M1011011,5,0
1,0,1,1,0,1,1,-7.4,0,-2.4,-3.1,0,-2.8,-7.7,GO:0070848,response to growth factor,M1011011,5,0
1,0,1,1,0,1,1,-5.1,0,-3,-2.6,0,-3.2,-2.3,R-HSA-372790,Signaling by GPCR,M1011011,5,0
1,0,0,1,0,1,1,-4,0,0,-4,0,-2.8,-7,hsa04014,Ras signaling pathway,M1001011,4,0
1,0,0,1,0,1,1,-3.1,0,0,-2.6,0,-3.2,-2.3,GO:0045596,negative regulation of cell differentiation,M1001011,4,0
1,0,0,1,0,1,1,-5.3,0,0,-2.7,0,-3.3,-4.4,GO:0035239,tube morphogenesis,M1001011,4,0
1,0,1,0,0,1,1,-2.7,0,-2.4,0,0,-3.9,-3.9,GO:0001501,skeletal system development,M1010011,4,0
1,0,0,1,0,1,1,-8.5,0,0,-4.4,0,-2.7,-10,hsa05200,Pathways in cancer,M1001011,4,0
1,0,0,1,0,1,1,-4.4,0,0,-4.4,0,-3.1,-4.5,GO:0030323,respiratory tube development,M1001011,4,0
1,0,0,1,0,1,1,-2.4,0,0,-3.7,0,-2.5,-2.5,GO:0009416,response to light stimulus,M1001011,4,0
1,0,0,1,0,1,1,-4.3,0,0,-4.2,0,-3,-4.4,GO:0060541,respiratory system development,M1001011,4,0
1,0,0,1,0,1,1,-5.2,0,0,-3.9,0,-2.7,-2.7,WP382,MAPK signaling pathway,M1001011,4,0
1,0,0,1,0,1,1,-11,0,0,-4.5,0,-3.3,-12,WP4262,Breast cancer pathway,M1001011,4,0
1,0,0,1,0,1,1,-4.1,0,0,-3.2,0,-2,-11,R-HSA-5663202,Diseases of signal transduction by growth factor receptors and second messengers,M1001011,4,0
0,0,1,0,1,1,1,0,0,-3.1,0,-2.7,-6.6,-2.6,M5884,NABA CORE MATRISOME,M0010111,4,0
1,0,0,1,0,1,1,-12,0,0,-4.6,0,-3.4,-12,hsa05224,Breast cancer,M1001011,4,0
1,0,0,1,0,1,1,-3,0,0,-4.7,0,-3.1,-2,GO:0009314,response to radiation,M1001011,4,0
1,0,0,1,0,1,1,-4.9,0,0,-3.7,0,-2.5,-5,hsa04010,MAPK signaling pathway,M1001011,4,0
1,0,0,1,0,1,1,-4.5,0,0,-4.4,0,-3.2,-4.6,GO:0030324,lung development,M1001011,4,0
1,0,0,0,0,1,1,-4.1,0,0,0,0,-3.1,-4.3,GO:0048514,blood vessel morphogenesis,M1000011,3,0
1,0,0,0,0,1,1,-2.9,0,0,0,0,-3,-7.4,WP306,Focal adhesion,M1000011,3,0
1,0,0,1,0,1,0,-3.5,0,0,-2.9,0,-3.6,0,GO:0007610,behavior,M1001010,3,0
1,0,0,0,0,1,1,-3.1,0,0,0,0,-3.2,-4.6,GO:0048762,mesenchymal cell differentiation,M1000011,3,0
1,0,0,0,0,1,1,-3.1,0,0,0,0,-3.1,-3.1,GO:0060173,limb development,M1000011,3,0
1,0,0,0,0,1,1,-3.3,0,0,0,0,-3.4,-7.4,WP4172,PI3K-Akt signaling pathway,M1000011,3,0
1,0,0,0,0,1,1,-4.9,0,0,0,0,-2.8,-3.9,GO:0001568,blood vessel development,M1000011,3,0
0,0,1,0,0,1,1,0,0,-4.6,0,0,-5.2,-2.6,GO:0030198,extracellular matrix organization,M0010011,3,0
1,0,0,0,0,1,1,-6.8,0,0,0,0,-3.2,-4.4,GO:0048732,gland development,M1000011,3,0
1,0,0,0,0,1,1,-3.3,0,0,0,0,-3.4,-7.3,hsa04151,PI3K-Akt signaling pathway,M1000011,3,0
1,0,1,0,0,1,0,-7.2,0,-2.8,0,0,-2.3,0,M5883,NABA SECRETED FACTORS,M1010010,3,0
1,0,0,1,0,0,1,-4.1,0,0,-4.1,0,0,-2.9,GO:0042063,gliogenesis,M1001001,3,0
0,0,1,0,0,1,1,0,0,-3.3,0,0,-2.6,-2.6,GO:2000147,positive regulation of cell motility,M0010011,3,0
1,0,1,0,0,0,1,-6.3,0,-2.5,0,0,0,-7.9,GO:0071363,cellular response to growth factor stimulus,M1010001,3,0
0,0,1,0,0,1,1,0,0,-3.2,0,0,-2.6,-2.6,GO:0040017,positive regulation of locomotion,M0010011,3,0
1,0,0,0,0,1,1,-3.1,0,0,0,0,-3.1,-3.1,GO:0048736,appendage development,M1000011,3,0
1,0,0,0,0,1,1,-4.8,0,0,0,0,-2.8,-3.8,GO:0001944,vasculature development,M1000011,3,0
1,0,0,0,0,1,1,-3.5,0,0,0,0,-2.6,-2.6,GO:0030855,epithelial cell differentiation,M1000011,3,0
1,0,0,1,0,0,1,-2.2,0,0,-2.6,0,0,-2.3,R-HSA-1280215,Cytokine Signaling in Immune system,M1001001,3,0
1,0,1,0,0,0,1,-3.2,0,-2.7,0,0,0,-2.2,GO:0040007,growth,M1010001,3,0
0,0,1,0,0,1,1,0,0,-4.5,0,0,-5.2,-2.6,GO:0045229,external encapsulating structure organization,M0010011,3,0
1,0,0,0,0,1,1,-2.7,0,0,0,0,-3.9,-2.8,GO:0071407,cellular response to organic cyclic compound,M1000011,3,0
0,0,1,0,0,1,1,0,0,-4.6,0,0,-5.2,-2.6,GO:0043062,extracellular structure organization,M0010011,3,0
1,0,0,1,0,0,1,-4.4,0,0,-5.7,0,0,-6.3,WP4155,Endometrial cancer,M1001001,3,0
1,0,1,0,0,1,0,-2.9,0,-3.5,0,0,-3,0,R-HSA-375276,Peptide ligand-binding receptors,M1010010,3,0
1,0,0,0,0,1,1,-3.5,0,0,0,0,-3.6,-7.7,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,M1000011,3,0
0,0,1,0,0,1,1,0,0,-4.4,0,0,-5,-2.5,R-HSA-1474244,Extracellular matrix organization,M0010011,3,0
1,0,0,0,1,0,1,-2.1,0,0,0,-2.3,0,-4.1,GO:0001934,positive regulation of protein phosphorylation,M1000101,3,0
1,0,1,0,0,0,1,-2.4,0,-3,0,0,0,-3.6,GO:0070372,regulation of ERK1 and ERK2 cascade,M1010001,3,0
1,0,0,0,0,1,1,-4.1,0,0,0,0,-4.2,-4.2,GO:0001837,epithelial to mesenchymal transition,M1000011,3,0
0,0,1,0,0,1,1,0,0,-3.2,0,0,-2.6,-2.6,GO:0051272,positive regulation of cellular component movement,M0010011,3,0
1,0,0,1,0,1,0,-5.8,0,0,-2.9,0,-2.7,0,GO:0048729,tissue morphogenesis,M1001010,3,0
1,0,0,0,0,1,1,-4.6,0,0,0,0,-3.5,-6.1,hsa05165,Human papillomavirus infection,M1000011,3,0
1,0,0,0,0,1,1,-2.9,0,0,0,0,-3,-7.4,hsa04510,Focal adhesion,M1000011,3,0
1,0,1,0,0,1,0,-3.9,0,-3.3,0,0,-4,0,hsa04020,Calcium signaling pathway,M1010010,3,0
1,0,0,1,0,1,0,-4,0,0,-3.2,0,-2,0,GO:0002009,morphogenesis of an epithelium,M1001010,3,0
1,0,0,1,0,0,1,-4.2,0,0,-4.2,0,0,-3,hsa05205,Proteoglycans in cancer,M1001001,3,0
0,0,1,0,0,1,1,0,0,-3.3,0,0,-2.7,-2.7,GO:0030335,positive regulation of cell migration,M0010011,3,0
1,0,0,0,0,1,1,-2.7,0,0,0,0,-2.8,-4.1,GO:0060485,mesenchyme development,M1000011,3,0
1,0,1,0,0,0,1,-2.8,0,-3.4,0,0,0,-2.9,GO:0070374,positive regulation of ERK1 and ERK2 cascade,M1010001,3,0
1,0,1,0,0,0,1,-3.2,0,-2.7,0,0,0,-2.2,GO:0048589,developmental growth,M1010001,3,0
1,0,1,0,0,1,0,-2.3,0,-4.2,0,0,-2.4,0,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),M1010010,3,0
1,0,0,0,0,1,1,-5.9,0,0,0,0,-3,-2.1,GO:0060322,head development,M1000011,3,0
0,0,1,0,0,1,1,0,0,-3.1,0,0,-2.6,-3.8,GO:0001503,ossification,M0010011,3,0
1,0,0,1,0,1,0,-3.8,0,0,-3,0,-3.9,0,GO:0071396,cellular response to lipid,M1001010,3,0
1,0,0,0,0,1,1,-7.5,0,0,0,0,-2.9,-2.9,GO:0061061,muscle structure development,M1000011,3,0
1,0,0,1,0,0,1,-3.7,0,0,-3,0,0,-7.5,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,M1001001,3,0
1,0,0,0,0,0,1,-2.5,0,0,0,0,0,-2.6,GO:0060249,anatomical structure homeostasis,M1000001,2,0
1,0,0,0,0,0,1,-3.8,0,0,0,0,0,-3.9,GO:0008283,cell population proliferation,M1000001,2,0
0,0,1,0,0,0,1,0,0,-2.2,0,0,0,-3.6,GO:0051347,positive regulation of transferase activity,M0010001,2,0
1,0,0,0,0,0,1,-2.7,0,0,0,0,0,-2.8,GO:0001894,tissue homeostasis,M1000001,2,0
1,0,0,0,0,0,1,-3.8,0,0,0,0,0,-3.9,hsa01522,Endocrine resistance,M1000001,2,0
1,0,0,0,0,1,0,-6.1,0,0,0,0,-3.1,0,GO:0007420,brain development,M1000010,2,0
1,0,0,0,0,0,1,-4.6,0,0,0,0,0,-4.7,R-HSA-2428924,IGF1R signaling cascade,M1000001,2,0
1,0,0,0,0,0,1,-2.4,0,0,0,0,0,-3.7,R-HSA-9006931,Signaling by Nuclear Receptors,M1000001,2,0
1,0,0,0,0,1,0,-3,0,0,0,0,-3.1,0,GO:0000165,MAPK cascade,M1000010,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-2.4,GO:0003002,regionalization,M1000001,2,0
1,0,0,0,0,0,1,-2.5,0,0,0,0,0,-3.8,GO:0007548,sex differentiation,M1000001,2,0
1,0,0,0,0,0,1,-5.2,0,0,0,0,0,-5.3,WP710,DNA damage response (only ATM dependent),M1000001,2,0
0,0,0,0,0,1,1,0,0,0,0,0,-2.1,-3.1,GO:0048608,reproductive structure development,M0000011,2,0
1,0,0,0,0,0,1,-3.3,0,0,0,0,0,-4.9,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-5.3,0,0,0,0,0,-3.8,WP399,Wnt signaling pathway and pluripotency,M1000001,2,0
1,0,0,0,0,0,1,-3.8,0,0,0,0,0,-5.5,hsa04916,Melanogenesis,M1000001,2,0
1,0,0,0,0,0,1,-4.1,0,0,0,0,0,-2.3,GO:0002520,immune system development,M1000001,2,0
1,0,0,0,0,0,1,-5,0,0,0,0,0,-3.5,WP236,Adipogenesis,M1000001,2,0
0,0,0,0,0,1,1,0,0,0,0,0,-2,-2,GO:0048568,embryonic organ development,M0000011,2,0
1,0,0,0,0,0,1,-3.6,0,0,0,0,0,-2.7,GO:0007507,heart development,M1000001,2,0
1,0,0,0,1,0,0,-6.3,0,0,0,-2.6,0,0,GO:0001822,kidney development,M1000100,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.9,GO:0061448,connective tissue development,M1000001,2,0
1,0,0,0,0,0,1,-5,0,0,0,0,0,-5,R-HSA-5654743,Signaling by FGFR4,M1000001,2,0
1,0,0,0,0,0,1,-4,0,0,0,0,0,-4.1,hsa04012,ErbB signaling pathway,M1000001,2,0
0,0,1,0,0,0,1,0,0,-3,0,0,0,-6.6,GO:0043408,regulation of MAPK cascade,M0010001,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-4.2,R-HSA-8939211,ESR-mediated signaling,M1000001,2,0
1,0,0,0,0,0,1,-3.6,0,0,0,0,0,-7,WP4659,Gastrin signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-5,0,0,0,0,0,-5.1,R-HSA-5654741,Signaling by FGFR3,M1000001,2,0
1,0,0,0,0,0,1,-2.1,0,0,0,0,0,-3.3,hsa05010,Alzheimer disease,M1000001,2,0
1,0,0,0,0,0,1,-4.7,0,0,0,0,0,-4.8,WP4666,Hepatitis B infection,M1000001,2,0
0,0,0,0,0,1,1,0,0,0,0,0,-2.1,-3.1,GO:0061458,reproductive system development,M0000011,2,0
1,0,0,0,0,1,0,-4.7,0,0,0,0,-3.3,0,hsa04921,Oxytocin signaling pathway,M1000010,2,0
1,0,0,0,0,0,1,-4.5,0,0,0,0,0,-11,hsa05225,Hepatocellular carcinoma,M1000001,2,0
1,0,0,0,0,0,1,-4.1,0,0,0,0,0,-6,R-HSA-74752,Signaling by Insulin receptor,M1000001,2,0
1,0,1,0,0,0,0,-3.9,0,-3.6,0,0,0,0,R-HSA-500792,GPCR ligand binding,M1010000,2,0
1,0,0,0,0,0,1,-5.2,0,0,0,0,0,-9.5,WP5087,Malignant pleural mesothelioma,M1000001,2,0
1,0,0,0,0,0,1,-2.3,0,0,0,0,0,-3.5,WP2059,Alzheimer's disease and miRNA effects,M1000001,2,0
1,0,0,1,0,0,0,-4.8,0,0,-3.7,0,0,0,GO:0060562,epithelial tube morphogenesis,M1001000,2,0
1,0,0,0,0,0,1,-3.5,0,0,0,0,0,-2.6,GO:0048598,embryonic morphogenesis,M1000001,2,0
1,0,0,0,0,0,1,-2.9,0,0,0,0,0,-4.4,hsa05167,Kaposi sarcoma-associated herpesvirus infection,M1000001,2,0
1,0,0,0,0,0,1,-3.8,0,0,0,0,0,-2.7,GO:0043588,skin development,M1000001,2,0
1,0,0,0,0,0,1,-2.2,0,0,0,0,0,-2.3,GO:0002521,leukocyte differentiation,M1000001,2,0
0,0,0,0,0,1,1,0,0,0,0,0,-2.9,-2.9,GO:0060348,bone development,M0000011,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.8,GO:0048705,skeletal system morphogenesis,M1000001,2,0
1,0,0,0,0,0,1,-2.3,0,0,0,0,0,-4.4,GO:0001775,cell activation,M1000001,2,0
1,0,0,0,1,0,0,-6.2,0,0,0,-2.6,0,0,GO:0072001,renal system development,M1000100,2,0
1,0,0,0,0,1,0,-2,0,0,0,0,-3.2,0,GO:0008015,blood circulation,M1000010,2,0
1,0,0,0,0,0,1,-2.6,0,0,0,0,0,-5.2,R-HSA-1257604,PIP3 activates AKT signaling,M1000001,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.9,GO:0009952,anterior/posterior pattern specification,M1000001,2,0
1,0,0,0,0,0,1,-4.8,0,0,0,0,0,-4.9,M70,PID PS1 PATHWAY,M1000001,2,0
1,0,0,0,0,0,1,-4.1,0,0,0,0,0,-4.2,hsa05166,Human T-cell leukemia virus 1 infection,M1000001,2,0
1,0,0,0,0,0,1,-10,0,0,0,0,0,-6.9,WP3931,Embryonic stem cell pluripotency pathways,M1000001,2,0
1,0,0,0,0,0,1,-2.3,0,0,0,0,0,-2.4,GO:0090287,regulation of cellular response to growth factor stimulus,M1000001,2,0
1,0,0,0,0,1,0,-3,0,0,0,0,-3.1,0,GO:0099177,regulation of trans-synaptic signaling,M1000010,2,0
1,0,0,0,0,1,0,-3.5,0,0,0,0,-3.6,0,GO:0050890,cognition,M1000010,2,0
1,0,0,0,0,1,0,-3.8,0,0,0,0,-2.7,0,GO:0042692,muscle cell differentiation,M1000010,2,0
1,0,0,0,0,1,0,-3.8,0,0,0,0,-3.9,0,GO:0060840,artery development,M1000010,2,0
1,0,0,0,0,0,1,-2.9,0,0,0,0,0,-3,hsa05203,Viral carcinogenesis,M1000001,2,0
1,0,0,0,0,0,1,-4.2,0,0,0,0,0,-6.1,hsa05218,Melanoma,M1000001,2,0
1,0,0,0,0,0,1,-3.2,0,0,0,0,0,-3.3,GO:0051216,cartilage development,M1000001,2,0
1,0,0,0,0,0,1,-4,0,0,0,0,0,-2,GO:0051960,regulation of nervous system development,M1000001,2,0
1,0,0,0,0,0,1,-3.1,0,0,0,0,0,-3.2,hsa04310,Wnt signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-3.5,0,0,0,0,0,-4.9,R-HSA-9006925,Intracellular signaling by second messengers,M1000001,2,0
1,0,0,0,0,0,1,-2.5,0,0,0,0,0,-3.8,R-HSA-5684996,MAPK1/MAPK3 signaling,M1000001,2,0
1,0,0,0,0,0,1,-3.2,0,0,0,0,0,-4.7,GO:0046661,male sex differentiation,M1000001,2,0
1,0,0,0,0,0,1,-6.1,0,0,0,0,0,-9.6,WP4239,Epithelial to mesenchymal transition in colorectal cancer,M1000001,2,0
1,0,0,0,0,0,1,-4,0,0,0,0,0,-4.1,R-HSA-190236,Signaling by FGFR,M1000001,2,0
1,0,0,0,0,1,0,-3.5,0,0,0,0,-2.4,0,GO:1901214,regulation of neuron death,M1000010,2,0
1,0,0,0,0,0,1,-4.2,0,0,0,0,0,-2.4,GO:0048534,hematopoietic or lymphoid organ development,M1000001,2,0
1,0,0,0,0,0,1,-4.6,0,0,0,0,0,-6.6,R-HSA-74751,Insulin receptor signalling cascade,M1000001,2,0
1,0,0,0,0,0,1,-6.8,0,0,0,0,0,-6.9,WP4787,Osteoblast differentiation and related diseases,M1000001,2,0
1,0,0,0,0,0,1,-2.2,0,0,0,0,0,-2.3,GO:0050767,regulation of neurogenesis,M1000001,2,0
1,0,0,0,0,0,1,-4.7,0,0,0,0,0,-4.8,R-HSA-5654736,Signaling by FGFR1,M1000001,2,0
1,0,0,0,0,1,0,-5.3,0,0,0,0,-2.7,0,GO:0045165,cell fate commitment,M1000010,2,0
1,0,0,0,0,0,1,-3.6,0,0,0,0,0,-3.7,R-HSA-187037,Signaling by NTRK1 (TRKA),M1000001,2,0
1,0,0,0,0,0,1,-2.2,0,0,0,0,0,-2.3,GO:1901342,regulation of vasculature development,M1000001,2,0
1,0,0,0,0,0,1,-2.3,0,0,0,0,0,-2.4,R-HSA-195721,Signaling by WNT,M1000001,2,0
1,0,0,0,1,0,0,-3,0,0,0,-3.3,0,0,GO:0010564,regulation of cell cycle process,M1000100,2,0
1,0,0,0,0,0,1,-3.9,0,0,0,0,0,-4,WP673,ErbB signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-3.2,0,0,0,0,0,-2.3,GO:0048871,multicellular organismal homeostasis,M1000001,2,0
1,0,0,0,0,0,1,-2.5,0,0,0,0,0,-3.8,R-HSA-5673001,RAF/MAP kinase cascade,M1000001,2,0
1,0,0,0,0,0,1,-2.5,0,0,0,0,0,-2.6,GO:0051962,positive regulation of nervous system development,M1000001,2,0
1,0,0,0,0,1,0,-3,0,0,0,0,-3.1,0,GO:0050804,modulation of chemical synaptic transmission,M1000010,2,0
1,0,0,0,0,0,1,-3,0,0,0,0,0,-3.1,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-4.6,0,0,0,0,0,-4.7,hsa05161,Hepatitis B,M1000001,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-3.5,R-HSA-166520,Signaling by NTRKs,M1000001,2,0
1,0,0,0,0,0,1,-4.6,0,0,0,0,0,-4.6,M276,PID FGF PATHWAY,M1000001,2,0
1,0,0,0,0,1,0,-5.6,0,0,0,0,-3.3,0,GO:0030900,forebrain development,M1000010,2,0
1,0,0,0,0,0,1,-6.3,0,0,0,0,0,-12,hsa05226,Gastric cancer,M1000001,2,0
1,0,0,0,0,0,1,-2.4,0,0,0,0,0,-3.5,GO:0010942,positive regulation of cell death,M1000001,2,0
1,0,0,0,0,0,1,-3.2,0,0,0,0,0,-3.3,hsa04150,mTOR signaling pathway,M1000001,2,0
0,0,1,0,0,0,1,0,0,-2.4,0,0,0,-6.4,GO:0043410,positive regulation of MAPK cascade,M0010001,2,0
1,0,0,0,0,0,1,-2.9,0,0,0,0,0,-2,GO:0007389,pattern specification process,M1000001,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.9,GO:0008406,gonad development,M1000001,2,0
0,0,1,0,0,1,0,0,0,-2.8,0,0,-2.3,0,hsa04080,Neuroactive ligand-receptor interaction,M0010010,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-3.5,GO:0001525,angiogenesis,M1000001,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-3.5,R-HSA-5683057,MAPK family signaling cascades,M1000001,2,0
1,0,0,0,0,0,1,-2.6,0,0,0,0,0,-3.9,WP5124,Alzheimer's disease,M1000001,2,0
1,0,0,0,0,1,0,-3.8,0,0,0,0,-3.9,0,GO:0007611,learning or memory,M1000010,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-2.8,GO:0045137,development of primary sexual characteristics,M1000001,2,0
1,0,0,0,0,0,1,-4.2,0,0,0,0,0,-4.3,R-HSA-5654738,Signaling by FGFR2,M1000001,2,0
1,0,0,0,1,0,0,-5.9,0,0,0,-2.4,0,0,GO:0001655,urogenital system development,M1000100,2,0
1,0,0,0,0,0,1,-2.1,0,0,0,0,0,-4.1,GO:0009725,response to hormone,M1000001,2,0
1,0,0,0,0,0,1,-4.8,0,0,0,0,0,-4.9,hsa04550,Signaling pathways regulating pluripotency of stem cells,M1000001,2,0
1,0,0,0,0,0,1,-3.4,0,0,0,0,0,-8.3,GO:0007167,enzyme-linked receptor protein signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-3.1,0,0,0,0,0,-3.2,GO:0010001,glial cell differentiation,M1000001,2,0
1,0,0,0,0,0,1,-5.1,0,0,0,0,0,-3.6,GO:0035270,endocrine system development,M1000001,2,0
1,0,0,0,0,0,1,-4.6,0,0,0,0,0,-4.7,R-HSA-2404192,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),M1000001,2,0
1,0,0,0,0,0,1,-2.4,0,0,0,0,0,-2.5,GO:1903131,mononuclear cell differentiation,M1000001,2,0
1,0,0,0,0,0,1,-2.8,0,0,0,0,0,-5.7,hsa04015,Rap1 signaling pathway,M1000001,2,0
1,0,0,0,0,0,1,-4.1,0,0,0,0,0,-4.3,hsa05207,Chemical carcinogenesis - receptor activation,M1000001,2,0
0,0,0,0,1,0,1,0,0,0,0,-4.1,0,-2.7,GO:0033044,regulation of chromosome organization,M0000101,2,0
1,0,0,0,0,1,0,-2.3,0,0,0,0,-2.4,0,R-HSA-418594,G alpha (i) signalling events,M1000010,2,0
1,0,0,0,0,0,0,-7.8,0,0,0,0,0,0,GO:0072080,nephron tubule development,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0032868,response to insulin,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.8,0,0,GO:0007052,mitotic spindle organization,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.2,WP4685,Melanoma,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.3,GO:0045834,positive regulation of lipid metabolic process,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.5,WP1544,MicroRNAs in cardiomyocyte hypertrophy,M0000001,1,0
1,0,0,0,0,0,0,-4.9,0,0,0,0,0,0,GO:0007517,muscle organ development,M1000000,1,0
1,0,0,0,0,0,0,-4.6,0,0,0,0,0,0,GO:0061138,morphogenesis of a branching epithelium,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.9,WP23,B cell receptor signaling pathway,M0000001,1,0
1,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,GO:0021536,diencephalon development,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.2,0,0,GO:0007017,microtubule-based process,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,hsa05202,Transcriptional misregulation in cancer,M0000001,1,0
1,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,GO:0001889,liver development,M1000000,1,0
1,0,0,0,0,0,0,-4,0,0,0,0,0,0,GO:0001823,mesonephros development,M1000000,1,0
