_MEMBER_CNet-SVM,_MEMBER_Enet-SVM,_MEMBER_L2SCAD-SVM,_MEMBER_SCAD-SVM,_MEMBER_SGLasso-SVM,_MEMBER_SVM-RFE,_MEMBER_mRMR-SVM,_LogP_CNet-SVM,_LogP_Enet-SVM,_LogP_L2SCAD-SVM,_LogP_SCAD-SVM,_LogP_SGLasso-SVM,_LogP_SVM-RFE,_LogP_mRMR-SVM,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.7,R-HSA-9006936,Signaling by TGFB family members,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.1,0,0,R-HSA-453274,Mitotic G2-G2/M phases,M0000100,1,0
0,0,0,0,1,0,0,0,0,0,0,-4,0,0,GO:0051225,spindle assembly,M0000100,1,0
1,0,0,0,0,0,0,-5,0,0,0,0,0,0,GO:0061008,hepaticobiliary system development,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.3,0,0,GO:0051985,negative regulation of chromosome segregation,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.5,WP304,Kit receptor signaling pathway,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-4.6,0,GO:0030199,collagen fibril organization,M0000010,1,0
1,0,0,0,0,0,0,-6.6,0,0,0,0,0,0,GO:0072073,kidney epithelium development,M1000000,1,0
1,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0150063,visual system development,M1000000,1,0
1,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,GO:0044089,positive regulation of cellular component biogenesis,M1000000,1,0
1,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0050678,regulation of epithelial cell proliferation,M1000000,1,0
1,0,0,0,0,0,0,-4,0,0,0,0,0,0,R-HSA-157118,Signaling by NOTCH,M1000000,1,0
1,0,0,0,0,0,0,-5.3,0,0,0,0,0,0,R-HSA-5654687,Downstream signaling of activated FGFR1,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,hsa04062,Chemokine signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4,hsa05222,Small cell lung cancer,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.8,GO:0060284,regulation of cell development,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-12,WP4216,Chromosomal and microsatellite instability in colorectal cancer,M0000001,1,0
1,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,R-HSA-1980143,Signaling by NOTCH1,M1000000,1,0
1,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,GO:0030097,hemopoiesis,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0032870,cellular response to hormone stimulus,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-4.3,0,0,GO:2001251,negative regulation of chromosome organization,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.8,R-HSA-9634638,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0071902,positive regulation of protein serine/threonine kinase activity,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.5,GO:1902105,regulation of leukocyte differentiation,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.1,0,0,R-HSA-69275,G2/M Transition,M0000100,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.4,0,0,GO:1901990,regulation of mitotic cell cycle phase transition,M0000100,1,0
1,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,WP289,Myometrial relaxation and contraction pathways,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-4,0,0,GO:1902099,regulation of metaphase/anaphase transition of cell cycle,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,R-HSA-9711123,Cellular response to chemical stress,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.1,R-HSA-112316,Neuronal System,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.7,0,0,GO:0140694,non-membrane-bounded organelle assembly,M0000100,1,0
1,0,0,0,0,0,0,-5.5,0,0,0,0,0,0,WP3845,Canonical and non-canonical Notch signaling,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.2,GO:0051098,regulation of binding,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5,R-HSA-2262752,Cellular responses to stress,M0000001,1,0
1,0,0,0,0,0,0,-4.6,0,0,0,0,0,0,GO:0060675,ureteric bud morphogenesis,M1000000,1,0
1,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,GO:1901890,positive regulation of cell junction assembly,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.4,GO:0035065,regulation of histone acetylation,M0000001,1,0
1,0,0,0,0,0,0,-3.6,0,0,0,0,0,0,GO:0007423,sensory organ development,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4,WP2840,Hair follicle development: cytodifferentiation - part 3 of 3,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.4,GO:0042060,wound healing,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.2,WP4331,Neovascularisation processes,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.5,GO:0008286,insulin receptor signaling pathway,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-3.6,0,GO:0032355,response to estradiol,M0000010,1,0
1,0,0,0,0,0,0,-5.9,0,0,0,0,0,0,R-HSA-5654719,SHC-mediated cascade:FGFR4,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.7,0,0,GO:0007093,mitotic cell cycle checkpoint signaling,M0000100,1,0
0,0,1,0,0,0,0,0,0,-2.1,0,0,0,0,GO:0019725,cellular homeostasis,M0010000,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.6,0,0,GO:0071173,spindle assembly checkpoint signaling,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.2,GO:0007568,aging,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.5,hsa04371,Apelin signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5,WP2036,TNF-related weak inducer of apoptosis (TWEAK) signaling pathway,M0000001,1,0
1,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,GO:0046903,secretion,M1000000,1,0
1,0,0,0,0,0,0,-6.5,0,0,0,0,0,0,GO:0060538,skeletal muscle organ development,M1000000,1,0
1,0,0,0,0,0,0,-3.9,0,0,0,0,0,0,WP4336,ncRNAs involved in Wnt signaling in hepatocellular carcinoma,M1000000,1,0
1,0,0,0,0,0,0,-5.7,0,0,0,0,0,0,R-HSA-5654699,SHC-mediated cascade:FGFR2,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.8,R-HSA-201681,TCF dependent signaling in response to WNT,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-4.9,0,0,GO:0090307,mitotic spindle assembly,M0000100,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-2.4,0,GO:0098655,cation transmembrane transport,M0000010,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.7,M7955,SIG INSULIN RECEPTOR PATHWAY IN CARDIAC MYOCYTES,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.9,0,0,GO:1901988,negative regulation of cell cycle phase transition,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.4,hsa04261,Adrenergic signaling in cardiomyocytes,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.4,R-HSA-5653656,Vesicle-mediated transport,M0000001,1,0
1,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,GO:1901888,regulation of cell junction assembly,M1000000,1,0
1,0,0,0,0,0,0,-4.8,0,0,0,0,0,0,GO:1901861,regulation of muscle tissue development,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.3,hsa04934,Cushing syndrome,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.8,GO:0010035,response to inorganic substance,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.1,WP4806,EGFR tyrosine kinase inhibitor resistance,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-2.4,0,GO:0070482,response to oxygen levels,M0000010,1,0
1,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,GO:0001763,morphogenesis of a branching structure,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.8,GO:0043065,positive regulation of apoptotic process,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.3,0,0,GO:1902850,microtubule cytoskeleton organization involved in mitosis,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.3,hsa01524,Platinum drug resistance,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.5,GO:0010720,positive regulation of cell development,M0000001,1,0
1,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,GO:0072078,nephron tubule morphogenesis,M1000000,1,0
1,0,0,0,0,0,0,-2.8,0,0,0,0,0,0,hsa04810,Regulation of actin cytoskeleton,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.6,GO:0071417,cellular response to organonitrogen compound,M0000001,1,0
1,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,R-HSA-5619507,Activation of HOX genes during differentiation,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-4,0,0,R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.7,GO:0051052,regulation of DNA metabolic process,M0000001,1,0
1,0,0,0,0,0,0,-4.8,0,0,0,0,0,0,GO:0060537,muscle tissue development,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.6,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6,hsa05212,Pancreatic cancer,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.4,GO:0045859,regulation of protein kinase activity,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,GO:0070302,regulation of stress-activated protein kinase signaling cascade,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.9,R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.9,GO:0071773,cellular response to BMP stimulus,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-5.1,0,GO:0046683,response to organophosphorus,M0000010,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.6,0,0,GO:0071174,mitotic spindle checkpoint signaling,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.1,GO:0034654,nucleobase-containing compound biosynthetic process,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.2,hsa05163,Human cytomegalovirus infection,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,R-HSA-112314,Neurotransmitter receptors and postsynaptic signal transmission,M0000001,1,0
1,0,0,0,0,0,0,-3.9,0,0,0,0,0,0,hsa04912,GnRH signaling pathway,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.8,GO:0071375,cellular response to peptide hormone stimulus,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.2,0,0,GO:0007059,chromosome segregation,M0000100,1,0
1,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,GO:2000144,"positive regulation of DNA-templated transcription, initiation",M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.2,hsa04022,cGMP-PKG signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.8,R-HSA-6811558,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6.6,WP5144,NRP1-triggered signaling pathways in pancreatic cancer,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.3,WP4255,Non-small cell lung cancer,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.1,GO:0045860,positive regulation of protein kinase activity,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.7,hsa05132,Salmonella infection,M0000001,1,0
1,0,0,0,0,0,0,-4.9,0,0,0,0,0,0,GO:0001658,branching involved in ureteric bud morphogenesis,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3,GO:0051090,regulation of DNA-binding transcription factor activity,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.1,GO:1903706,regulation of hemopoiesis,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4,WP138,Androgen receptor signaling pathway,M0000001,1,0
1,0,0,0,0,0,0,-7.7,0,0,0,0,0,0,GO:0061326,renal tubule development,M1000000,1,0
1,0,0,0,0,0,0,-5,0,0,0,0,0,0,WP127,IL-5 signaling pathway,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-6,WP4674,Head and neck squamous cell carcinoma,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-4.4,0,GO:0048844,artery morphogenesis,M0000010,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-4.4,0,M3008,NABA ECM GLYCOPROTEINS,M0000010,1,0
1,0,0,0,0,0,0,-4.7,0,0,0,0,0,0,R-HSA-112399,IRS-mediated signalling,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.2,GO:1901652,response to peptide,M0000001,1,0
1,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0032940,secretion by cell,M1000000,1,0
1,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,GO:0071559,response to transforming growth factor beta,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.7,M286,PID TGFBR PATHWAY,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.7,GO:0006366,transcription by RNA polymerase II,M0000001,1,0
1,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,GO:0072088,nephron epithelium morphogenesis,M1000000,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-3.4,0,GO:0035296,regulation of tube diameter,M0000010,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.4,0,0,GO:0000075,cell cycle checkpoint signaling,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.6,R-HSA-112315,Transmission across Chemical Synapses,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.1,0,0,R-HSA-2467813,Separation of Sister Chromatids,M0000100,1,0
1,0,0,0,0,0,0,-3.9,0,0,0,0,0,0,GO:0003007,heart morphogenesis,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.9,M8626,SIG BCR SIGNALING PATHWAY,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.2,hsa05216,Thyroid cancer,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.3,0,0,GO:0070925,organelle assembly,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.3,hsa05160,Hepatitis C,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-5,0,0,GO:0051783,regulation of nuclear division,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2,GO:0009611,response to wounding,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-4.9,0,0,GO:0007051,spindle organization,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.1,R-HSA-109581,Apoptosis,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,GO:0050769,positive regulation of neurogenesis,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.1,hsa04068,FoxO signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.5,GO:0008584,male gonad development,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.5,GO:1901653,cellular response to peptide,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.6,GO:0043434,response to peptide hormone,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.7,0,0,R-HSA-2500257,Resolution of Sister Chromatid Cohesion,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.8,hsa04928,"Parathyroid hormone synthesis, secretion and action",M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-2.8,0,GO:0009636,response to toxic substance,M0000010,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.2,GO:0071345,cellular response to cytokine stimulus,M0000001,1,0
0,0,0,0,0,1,0,0,0,0,0,0,-2.7,0,GO:1903522,regulation of blood circulation,M0000010,1,0
1,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,M272,PID CD8 TCR DOWNSTREAM PATHWAY,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-4.8,0,0,GO:0140014,mitotic nuclear division,M0000100,1,0
1,0,0,0,0,0,0,-3.6,0,0,0,0,0,0,WP428,Wnt signaling,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.7,R-HSA-422475,Axon guidance,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4,GO:0043549,regulation of kinase activity,M0000001,1,0
1,0,0,0,0,0,0,-5.1,0,0,0,0,0,0,GO:0045746,negative regulation of Notch signaling pathway,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5.3,R-HSA-199418,Negative regulation of the PI3K/AKT network,M0000001,1,0
1,0,0,0,0,0,0,-3,0,0,0,0,0,0,GO:2000241,regulation of reproductive process,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-2.4,0,0,R-HSA-194315,Signaling by Rho GTPases,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-5,hsa04915,Estrogen signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.5,WP4816,TGF-beta receptor signaling in skeletal dysplasias,M0000001,1,0
1,0,0,0,0,0,0,-2.2,0,0,0,0,0,0,GO:0001654,eye development,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.6,0,0,GO:0007094,mitotic spindle assembly checkpoint signaling,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.1,GO:0046649,lymphocyte activation,M0000001,1,0
1,0,0,0,0,0,0,-4.1,0,0,0,0,0,0,GO:0002065,columnar/cuboidal epithelial cell differentiation,M1000000,1,0
1,0,0,0,0,0,0,-3.3,0,0,0,0,0,0,WP51,Regulation of actin cytoskeleton,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.9,0,0,GO:0010948,negative regulation of cell cycle process,M0000100,1,0
1,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,GO:0009410,response to xenobiotic stimulus,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.7,GO:0051054,positive regulation of DNA metabolic process,M0000001,1,0
1,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,GO:0061333,renal tubule morphogenesis,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.9,WP4658,Small cell lung cancer,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-4.4,0,0,R-HSA-68877,Mitotic Prometaphase,M0000100,1,0
1,0,0,0,0,0,0,-4.6,0,0,0,0,0,0,GO:0072171,mesonephric tubule morphogenesis,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.4,WP5083,Neuroinflammation and glutamatergic signaling,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.6,0,0,GO:0051983,regulation of chromosome segregation,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.3,GO:0007492,endoderm development,M0000001,1,0
1,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,M186,PID PDGFRB PATHWAY,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.9,GO:0071772,response to BMP,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-8.4,GO:0097659,nucleic acid-templated transcription,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.5,GO:0046546,development of primary male sexual characteristics,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-9.2,0,0,GO:1903047,mitotic cell cycle process,M0000100,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.4,WP2374,Oncostatin M signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.5,hsa04210,Apoptosis,M0000001,1,0
1,0,0,0,0,0,0,-5.8,0,0,0,0,0,0,R-HSA-5654712,FRS-mediated FGFR4 signaling,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.5,hsa04910,Insulin signaling pathway,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.6,hsa04380,Osteoclast differentiation,M0000001,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.2,GO:2000756,regulation of peptidyl-lysine acetylation,M0000001,1,0
0,0,1,0,0,0,0,0,0,-4.1,0,0,0,0,GO:0001649,osteoblast differentiation,M0010000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-4.4,WP3303,RAC1/PAK1/p38/MMP2 pathway,M0000001,1,0
1,0,0,0,0,0,0,-2.9,0,0,0,0,0,0,GO:0043523,regulation of neuron apoptotic process,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-8.6,0,0,GO:0000278,mitotic cell cycle,M0000100,1,0
1,0,0,0,0,0,0,-3.7,0,0,0,0,0,0,WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.5,0,0,GO:0031577,spindle checkpoint signaling,M0000100,1,0
0,0,0,0,1,0,0,0,0,0,0,-5.4,0,0,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,M0000100,1,0
1,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,WP437,EGF/EGFR signaling pathway,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-2.1,GO:0022412,cellular process involved in reproduction in multicellular organism,M0000001,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.8,0,0,R-HSA-69278,"Cell Cycle, Mitotic",M0000100,1,0
1,0,0,0,0,0,0,-2.3,0,0,0,0,0,0,GO:0043010,camera-type eye development,M1000000,1,0
1,0,0,0,0,0,0,-5.6,0,0,0,0,0,0,R-HSA-5654708,Downstream signaling of activated FGFR3,M1000000,1,0
0,0,0,0,1,0,0,0,0,0,0,-3.6,0,0,GO:0010639,negative regulation of organelle organization,M0000100,1,0
1,0,0,0,0,0,0,-3.3,0,0,0,0,0,0,GO:0043524,negative regulation of neuron apoptotic process,M1000000,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,-3.3,WP481,Insulin signaling,M0000001,1,0
1,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,hsa04390,Hippo signaling pathway,M1000000,1,0
1,0,0,0,0,0,0,-2.7,0,0,0,0,0,0,GO:0021537,telencephalon development,M1000000,1,0
1,0,0,0,0,0,0,-3.8,0,0,0,0,0,0,GO:0008593,regulation of Notch signaling pathway,M1000000,1,0
